title,alias,description,topic,ons-link
"UK House Price Statistics for Small Areas",house-prices-local-authority,"","housing",https://www.ons.gov.uk/datasets/house-prices-local-authority/editions/time-series/versions
"Children's Well-being Measures",childrens-wellbeing,"","",https://www.ons.gov.uk/datasets/childrens-wellbeing/editions/time-series/versions
"Well-being by quarters",wellbeing-quarterly,"Annual estimates of life satisfaction, worthwhile, happiness and anxiety in the UK.","wellbeing",https://www.ons.gov.uk/datasets/wellbeing-quarterly/editions/time-series/versions
"Earnings and hours worked, place of work and place of residence by local enterprise partnerships: ASHE Tables 27 and 28",ashe-tables-27-and-28,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work- and home-based local enterprise partnerships.
","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-27-and-28/editions/time-series/versions
"Earnings and hours worked, UK region by public and private sector",ashe-tables-25,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region, and public and private sector, and non-profit bodies and mutual associations.","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-25/editions/time-series/versions
"ASHE Tables 26",ashe-tables-26,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, for care workers, home carers and senior care workers as defined in the Standard Occupational Classification.","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-26/editions/time-series/versions
"Earnings and hours worked, region by occupation by two-digit SOC: ASHE Table 3",ashe-tables-3,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region and two-digit Standard Occupational Classification 2010.","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-3/editions/time-series/versions
"Earnings and hours worked, age group by occupation by two-digit SOC",ashe-tables-20,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by age group and two-digit Standard Occupational Classification 2010.","earningsandworkinghours",https://www.ons.gov.uk/datasets/ashe-tables-20/editions/time-series/versions
"Expenditure on healthcare: UK Health Accounts",health-accounts,"Healthcare expenditure statistics, produced to the international definitions of the System of Health Accounts 2011.","healthcaresystem",https://www.ons.gov.uk/datasets/health-accounts/editions/time-series/versions
"Deaths registered weekly in England and Wales by age and sex",weekly-deaths-age-sex,"Provisional counts of the number of deaths registered in England and Wales, by age and sex, in the latest weeks for which data are available.","deaths",https://www.ons.gov.uk/datasets/weekly-deaths-age-sex/editions/covid-19/versions
"Deaths registered weekly in England and Wales by region",weekly-deaths-region,"Provisional counts of the number of deaths registered in England and Wales, by region, in the latest weeks for which data are available.","deaths",https://www.ons.gov.uk/datasets/weekly-deaths-region/editions/covid-19/versions
"Death registrations and occurrences by local authority and place of death",weekly-deaths-local-authority,"Provisional counts of the number of deaths registered in England and Wales, by local authority and place of death, in the latest weeks for which data are available.","deaths",https://www.ons.gov.uk/datasets/weekly-deaths-local-authority/editions/time-series/versions
"Death registrations and occurrences by health board and place of death",weekly-deaths-health-board,"Provisional counts of the number of deaths registered in England and Wales, by health board and place of death, in the latest weeks for which data are available.","deaths",https://www.ons.gov.uk/datasets/weekly-deaths-health-board/editions/time-series/versions
"Local authority ageing statistics, projections of sex ratios for people aged 65 and over and 85 and over",projections-older-people-sex-ratios,"","",https://www.ons.gov.uk/datasets/projections-older-people-sex-ratios/editions/time-series/versions
"Faster indicators of UK economic activity: more timely and relevant shipping indicators",faster-indicators-shipping-data,"Early experimental data on the impact of the coronavirus (COVID-19) on the UK economy and society. These faster indicators are created using rapid response surveys, novel data sources and experimental methods.","",https://www.ons.gov.uk/datasets/faster-indicators-shipping-data/editions/time-series/versions
